CREATEDAT,ID,SKIPID
2021-10-20 15:58:43.000,70084,1263853
2021-11-03 03:46:34.000,72892,1272596
2021-10-15 14:46:53.000,69174,1273686
2021-10-09 22:56:31.000,68113,1277090
2021-10-19 22:16:15.000,69901,1279066
2021-10-04 18:36:02.000,67033,1254456
2021-10-06 00:37:18.000,67373,1258865
2021-10-20 13:37:10.000,70048,1260506
2021-10-05 20:27:42.000,67305,1261555
2021-10-07 09:02:00.000,67700,1268511
2021-10-13 16:46:37.000,68782,1270006
2021-10-26 19:55:28.000,71256,1272582
2021-10-21 14:08:55.000,70286,1273489
2021-11-17 16:42:46.000,76061,1273507
2021-11-17 16:42:57.000,76063,1273511
2021-10-14 23:16:13.000,69091,1274968
2021-10-08 19:30:59.000,67951,1274517
2021-10-29 17:38:35.000,71951,1276005
2021-10-12 21:35:12.000,68611,1257559
2021-10-08 14:40:16.000,67904,1268539
2021-10-26 19:49:08.000,71254,1272575
2021-11-17 16:42:43.000,76059,1273501
2021-10-09 16:32:35.000,68057,1276010
2021-10-24 13:09:38.000,70714,1275930
2021-10-20 19:27:53.000,70117,1276282
2021-11-30 01:05:20.000,77940,1439839
2021-12-02 16:18:42.000,78605,1453210
2021-11-24 02:56:02.000,77155,1456115
2021-11-19 18:36:24.000,76499,1463165
2021-11-23 16:47:40.000,77005,1463233
2021-11-26 17:20:16.000,77526,1471859
2021-12-07 20:41:43.000,79514,1476794
2021-12-01 22:23:05.000,78446,1478355
2021-11-27 06:07:27.000,77612,1479880
2021-11-25 07:05:54.000,77365,1482705
2021-12-08 01:00:57.000,79579,1484960
2021-12-04 17:05:59.000,78913,1489422
2021-12-07 23:20:37.000,79555,1494774
2021-11-16 15:48:42.000,75729,1442395
2021-11-17 01:22:08.000,75947,1449062
2021-11-18 17:47:40.000,76322,1458969
2021-11-21 21:06:53.000,76718,1468295
2021-12-07 15:00:21.000,79377,1470409
2021-12-07 07:49:46.000,79358,1472828
2021-11-29 03:14:25.000,77814,1486998
2021-12-02 20:20:07.000,78655,1489406
2021-12-04 17:05:51.000,78912,1489417
2021-11-30 16:07:28.000,78092,1492773
2021-12-03 20:19:02.000,78803,1494293
2021-11-30 12:29:40.000,78013,1439328
2021-11-28 00:26:09.000,77683,1441875
2021-11-16 17:28:23.000,75809,1444927
2021-11-16 19:35:26.000,75853,1446872
2021-12-06 03:09:07.000,79153,1447973
2021-11-17 19:27:47.000,76119,1453231
2021-11-24 18:02:50.000,77249,1482656
2021-12-04 17:06:03.000,78916,1489423
2021-12-27 20:42:39.000,82548,1489450
2021-12-02 20:20:04.000,78654,1489405
2021-12-26 14:53:48.000,82416,1489442
2021-11-16 12:52:51.000,75692,1441850
2021-11-28 00:53:35.000,77685,1450861
2021-11-21 03:01:42.000,76653,1456109
2021-11-18 04:02:40.000,76244,1456190
2021-11-26 22:43:44.000,77574,1456429
2021-11-18 17:10:27.000,76311,1458530
2022-01-02 02:38:35.000,83516,1468339
2021-12-04 06:10:51.000,78864,1470277
2021-12-01 20:42:00.000,78420,1469942
2021-12-01 14:58:22.000,78354,1475398
2021-12-01 07:53:35.000,78328,1475702
2021-11-23 17:13:11.000,77015,1476684
2022-01-13 17:12:54.000,86175,1485484
2021-12-15 01:16:52.000,80775,1489433
2021-12-02 20:44:07.000,78658,1489415
2021-12-04 17:06:00.000,78914,1489418
2021-12-16 15:08:38.000,81015,1494784
2021-11-22 16:04:12.000,76806,1438036
2021-11-29 06:30:56.000,77829,1440699
2021-12-03 17:48:38.000,78777,1446220
2021-11-23 17:21:44.000,77018,1447890
2021-12-06 03:10:10.000,79154,1447983
2021-12-01 23:15:29.000,78465,1456875
2021-11-18 17:08:17.000,76309,1458451
2021-11-24 17:46:24.000,77242,1459707
2021-11-19 17:01:15.000,76483,1462784
2021-12-05 18:02:34.000,79067,1466262
2021-12-02 20:20:12.000,78656,1489409
2021-12-04 17:06:04.000,78917,1489425
2021-12-02 20:19:41.000,78653,1489410
2021-12-03 16:10:40.000,78761,1463013
2021-11-20 23:02:08.000,76628,1466411
2021-11-26 21:03:15.000,77565,1470929
2021-11-26 17:25:05.000,77528,1471860
2021-12-08 05:00:37.000,79646,1479386
2021-12-03 03:17:01.000,78716,1489419
2021-11-30 20:54:59.000,78174,1448702
2021-11-16 21:14:17.000,75877,1447774
2021-11-17 19:04:59.000,76112,1453122
2021-11-18 04:13:05.000,76245,1456108
2021-11-19 17:01:28.000,76484,1462797
2021-11-21 21:08:31.000,76720,1468309
2022-01-03 13:28:48.000,83732,1473863
2021-12-15 01:17:30.000,80777,1489436
2021-12-04 15:25:47.000,78896,1489416
2021-11-15 17:57:44.000,75544,1436499
2021-11-30 02:07:55.000,77952,1440672
2021-12-01 20:37:02.000,78419,1469943
2021-11-30 15:34:35.000,78075,1474216
2021-12-09 15:54:14.000,79904,1486570
2021-12-04 17:06:02.000,78915,1489421
2022-02-16 01:25:45.000,95177,1786017
2022-02-16 02:19:17.000,95204,1787865
2022-02-01 17:33:11.000,91290,1792625
2022-02-02 01:15:41.000,91499,1798246
2022-02-04 16:48:20.000,92260,1806191
2022-02-12 18:41:15.000,94400,1818162
2022-02-16 18:28:10.000,95397,1822903
2022-02-16 23:19:54.000,95505,1823164
2022-02-08 21:05:59.000,93284,1833653
2022-02-08 19:53:15.000,93255,1833650
2022-02-05 09:21:56.000,92433,1787201
2022-02-01 19:27:49.000,91364,1792591
